index,name,weight,label
1,PEARL MILLET POHA,250GM,KAMBU AVAL
2,WHEAT POHA,250GM,KOTHUMAI AVAL
3,GREEN GRAM POHA,250GM,PAASI PAYIRU AVAL
4,RAGI POHA,250GM,KELVARAGU AVAL
5,KODO MILLET POHA,250GM,VARAGU AVAL
6,FOXTAIL MILLET POHA,250GM,THINAI AVAL
7,MIXED FLAKES,250GM,"RAGI,FOXTAIL,LITTLE"
8,CORN FLAKES,200GM,MAKKA SOLAM AVAL
9,BARNYARD POHA,250GM,KUTHIRAIVAALI  AVAL
10,MIXED FLAKES,250GM,"RAGI,PEARL,SORGHUM"
11,HORSEGRAM FLAKES,250GM,KOLLU AVAL
12,RICE POHA,250GM,THOOYAMALLI AVAL
13,QUINOA  POHA,250GM,SEEMAI THINAI AVAL
14,RED CHOLA POHA,250GM,SIVAPPU CHOLA  AVAL
15,LITTLE MILLET POHA,250GM,SAAMAI  AVAL
16,OATS,250GM,
17,BARLEY FLAKES,250GM,VAAL KOTHUMAI AVAL
18,UNPOLISHED RICE AVAL,250GM,KAIKUTHAL
19,KARUPU KAVUNI AVAL,250GM,
20,TOMATO SEMIYA,180GM,THAKKALI
21,FOXTAIL SEMIYA,180GM,THINAI
22,LITTLE MILLET SEMIYA,180GM,SAAMAI
23,RAGI SEMIYA,180GM,KELVARAGU
24,CURRY LEAVES SEMIYA,180GM,KARUVEPILLAI
25,SOYA SEMIYA,180GM,
26,WHEAT SEMIYA,180GM,KOTHUMAI
27,KODO MILLET NOODLES,180GM,VARAGU
28,MORINGA NOODLES,190GM,MURUNGAI
29,FINGER MILLET NOODLES,180GM,RAGI
30,MULTI,180GM,
31,MULTI,190GM,
32,PEARL MILLET NOODLES,180GM,KAMBU
33,BRIDEGROOM RICE NOODLES,180GM,MAPILAI SAMBA
34,SOYA NOODLEES,180GM,
35,FOXTAIL MILLET NOODLES,180GM,THINAI
36,WHEAT NOODLES,180GM,KOTHUMAI
37,RED RICE NOODLES,180GM,SIVAPPU ARISI
38,HORSE GRAM NOODLES,180GM,KOLLU
39,BARNYARD MILLET NOODLES,180GM,KUTHIRAI VAALI
40,FINGER MILLET NOODLES,190GM,RAGI
41,WHEAT RAVA,500GM,KOTHUMAI
42,WHEAT RAVA,250GM,KOTHUMAI
43,WHITE RAVA,500GM,VELLAI
44,ROASTED SOOJI,500GM,RAVA
45,LITTLE MILLET RAVA,400GM,SAAMAI
46,RAGI RAVA,400GM,KELVARAGU
47,BARNYARD MILLET RAVA,400GM,KUTHURAI VALI
48,FOXTAIL MILLET RAVA,400GM,THINAI
49,PEARL MILLET RAVA,400GM,KAMBU
50,FOXTAIL,250GM,
51,KODO MILLET SAMBA RAVA,250GM,VARAGU
52,LITTLE MILLET,250GM,
53,BARNYARD,250GM,
54,PROSOMILLET SAMBA RAVA,250GM,PANIVARAGU
55,BROKEN WHEAT RAVA,500GM,KOTHUMAI KURANAI
56,GROUNDNUT OIL,,KADALAI ENNAI
57,GROUNDNUT OIL,500ML,KADALAI ENNAI
58,COCONUT OIL,,THENGAI ENNAI
59,COCONUT OIL,500ML,THENGAI ENNAI
60,MUSTARD OIL,500ML,KADUGU ENNAI
61,CASTOR OIL,100ML,VELAKENNAI
62,SUNFLOWER OIL,,SOORIYAKAANTHI ENNAI
63,SUNFLOWER OIL,500ML,SOORIYAKAANTHI ENNAI
